Year,FY2020-21,FY2019-20,FY2018-19,FY2017-18,FY2016-17
Equity Share Capital,6445.00,6339.00,5926.00,5922.00,2959.00
Total Share Capital,6445.00,6339.00,5926.00,5922.00,2959.00
Revaluation Reserves,0.00,0.00,0.00,0.00,870.00
Reserves and Surplus,693727.00,442827.00,381186.00,287569.00,259876.00
Total Reserves and Surplus,693727.00,442827.00,381186.00,287569.00,260746.00
Total Shareholders Funds,700172.00,449166.00,387112.00,293491.00,263705.00
Equity Share Application Money,0.00,1.00,0.00,15.00,4.00
Minority Interest,99260.00,12181.00,8280.00,3539.00,2917.00
Long Term Borrowings,163683.00,197631.00,207506.00,144175.00,152148.00
Deferred Tax Liabilities [Net],37001.00,54123.00,49923.00,29618.00,26735.00
Other Long Term Liabilities,40903.00,38108.00,29407.00,28752.00,29162.00
Long Term Provisions,2625.00,1790.00,2856.00,2906.00,2353.00
Total Non-Current Liabilities,244212.00,291652.00,289692.00,205451.00,210398.00
Short Term Borrowings,60081.00,93786.00,64436.00,37429.00,31528.00
Trade Payables,108897.00,96799.00,108309.00,106861.00,76595.00
Other Current Liabilities,106086.00,220440.00,143251.00,168330.00,125423.00
Short Term Provisions,2504.00,1890.00,1326.00,1232.00,1769.00
Total Current Liabilities,277568.00,412915.00,317322.00,313852.00,235315.00
Total Capital And Liabilities,1321212.00,1165915.00,1002406.00,816348.00,712339.00
Tangible Assets,451066.00,435920.00,302115.00,316031.00,170483.00
Intangible Assets,79980.00,86479.00,84262.00,82041.00,23151.00
Capital Work-In-Progress,71171.00,59096.00,150178.00,166220.00,250377.00
Intangible Assets Under Development,54782.00,50010.00,29285.00,20802.00,74460.00
Fixed Assets,656999.00,631505.00,565840.00,585094.00,518471.00
Non-Current Investments,212382.00,203852.00,164612.00,25259.00,25639.00
Deferred Tax Assets [Net],1147.00,2900.00,4776.00,5075.00,5537.00
Long Term Loans And Advances,2484.00,21732.00,5452.00,2668.00,2708.00
Other Non-Current Assets,64977.00,37407.00,17676.00,8653.00,8279.00
Total Non-Current Assets,948201.00,907655.00,770353.00,632562.00,565526.00
Current Investments,152446.00,72915.00,71023.00,57603.00,57260.00
Inventories,81672.00,73903.00,67561.00,60837.00,48951.00
Trade Receivables,19014.00,19656.00,30089.00,17555.00,8177.00
Cash And Cash Equivalents,17397.00,30920.00,11081.00,4255.00,3023.00
Short Term Loans And Advances,65.00,669.00,545.00,2327.00,996.00
OtherCurrentAssets,102417.00,60197.00,51754.00,41209.00,28406.00
Total Current Assets,373011.00,258260.00,232053.00,183786.00,146813.00
Total Assets,1321212.00,1165915.00,1002406.00,816348.00,712339.00
Contingent Liabilities,85366.00,54891.00,50904.00,60997.00,76941.00
Bonus Equity Share Capital,5188.89,5188.89,5188.89,5188.89,2108.56
Non-Current Investments Unquoted Book Value,193228.00,174448.00,143718.00,0.00,0.00
Current Investments Unquoted Book Value,115098.00,40993.00,44706.00,0.00,0.00
