Date,Bond Rate,,,,
01-04-2008,6.177,,,,
01-05-2008,6.229,,,,
01-06-2008,5.949,,,,
01-07-2008,5.894,,,,
01-08-2008,5.911,,,,
01-09-2008,5.881,,,,
01-10-2008,6.015,,,,
01-11-2008,6.078,,,,
01-12-2008,5.837,,,,
01-01-2009,5.888,,,,
01-02-2009,6.013,,,,
01-03-2009,6.11,,,,
01-04-2009,6.138,,,,
01-05-2009,6.371,,,,
01-06-2009,6.599,,,,
01-07-2009,6.554,,,,
01-08-2009,6.46,,,,
01-09-2009,6.643,,,,
01-10-2009,6.695,,,,
01-11-2009,6.556,,,,
01-12-2009,6.369,,,,
01-01-2010,6.879,,,,
01-02-2010,7.032,,,,
01-03-2010,7.414,,,,
01-04-2010,7.346,,,,
01-05-2010,7.591,,,,
01-06-2010,7.483,,,,
01-07-2010,7.37,,,,
01-08-2010,7.607,,,,
01-09-2010,7.853,,,,
01-10-2010,8.024,,,,
01-11-2010,7.951,,,,
01-12-2010,7.772,,,,
01-01-2011,7.903,,,,
01-02-2011,7.826,,,,
01-03-2011,7.767,,,,
01-04-2011,7.398,,,,
01-05-2011,7.726,,,,
01-06-2011,7.43,,,,
01-07-2011,7.326,,,,
01-08-2011,7.058,,,,
01-09-2011,6.862,,,,
01-10-2011,6.663,,,,
01-11-2011,6.525,,,,
01-12-2011,6.465,,,,
01-01-2012,6.511,,,,
01-02-2012,6.661,,,,
01-03-2012,6.961,,,,
01-04-2012,6.658,,,,
01-05-2012,6.87,,,,
01-06-2012,6.407,,,,
01-07-2012,6.512,,,,
01-08-2012,6.243,,,,
01-09-2012,6.885,,,,
01-10-2012,6.958,,,,
01-11-2012,7.11,,,,
01-12-2012,7.163,,,,
01-01-2013,7.448,,,,
01-02-2013,7.471,,,,
01-03-2013,7.435,,,,
01-04-2013,7.459,,,,
01-05-2013,7.623,,,,
01-06-2013,7.779,,,,
01-07-2013,7.758,,,,
01-08-2013,7.786,,,,
01-09-2013,7.64,,,,
01-10-2013,7.539,,,,
01-11-2013,7.784,,,,
01-12-2013,7.806,,,,
01-01-2014,7.861,,,,
01-02-2014,7.815,,,,
01-03-2014,7.86,,,,
01-04-2014,7.738,,,,
01-05-2014,7.724,,,,
01-06-2014,7.691,,,,
01-07-2014,7.855,,,,
01-08-2014,8.087,,,,
01-09-2014,8.278,,,,
01-10-2014,8.511,,,,
01-11-2014,8.559,,,,
01-12-2014,8.718,,,,
01-01-2015,8.744,,,,
01-02-2015,8.645,,,,
01-03-2015,8.828,,,,
01-04-2015,8.804,,,,
01-05-2015,8.862,,,,
01-06-2015,8.77,,,,
01-07-2015,8.82,,,,
01-08-2015,9.044,,,,
01-09-2015,8.625,,,,
01-10-2015,8.766,,,,
01-11-2015,8.596,,,,
01-12-2015,8.172,,,,
01-01-2016,7.439,,,,
01-02-2016,7.443,,,,
01-03-2016,7.731,,,,
01-04-2016,7.951,,,,
01-05-2016,7.872,,,,
01-06-2016,7.912,,,,
01-07-2016,8.049,,,,
01-08-2016,8.175,,,,
01-09-2016,8.215,,,,
01-10-2016,8.149,,,,
01-11-2016,8.241,,,,
01-12-2016,8.245,,,,
01-01-2017,8.38,,,,
01-02-2017,8.377,,,,
01-03-2017,8.671,,,,
01-04-2017,8.572,,,,
01-05-2017,8.199,,,,
01-06-2017,8.267,,,,
01-07-2017,8.56,,,,
01-08-2017,8.738,,,,
01-09-2017,8.879,,,,
01-10-2017,8.442,,,,
01-11-2017,8.319,,,,
01-12-2017,8.454,,,,
01-01-2018,8.326,,,,
01-02-2018,8.411,,,,
01-03-2018,8.135,,,,
01-04-2018,7.985,,,,
01-05-2018,7.992,,,,
01-06-2018,8.148,,,,
01-07-2018,7.913,,,,
01-08-2018,8.066,,,,
01-09-2018,8.121,,,,
01-10-2018,7.852,,,,
01-11-2018,7.936,,,,
01-12-2018,7.803,,,,
01-01-2019,7.561,,,,
01-02-2019,7.564,,,,
01-03-2019,8.061,,,,
01-04-2019,7.85,,,,
01-05-2019,7.864,,,,
01-06-2019,7.591,,,,
01-07-2019,7.679,,,,
01-08-2019,7.257,,,,
01-09-2019,7.306,,,,
01-10-2019,7.215,,,,
01-11-2019,7.434,,,,
01-12-2019,6.998,,,,
01-01-2020,7.013,,,,
01-02-2020,6.71,,,,
01-03-2020,6.242,,,,
01-04-2020,7.014,,,,
01-05-2020,6.328,,,,
01-06-2020,6.187,,,,
01-07-2020,5.26,,,,
01-08-2020,7.08,,,,
01-09-2020,7.478,,,,
01-10-2020,8.617,,,,
01-11-2020,8.7,,,,
01-12-2020,9.316,,,,
01-01-2021,8.713,,,,
01-02-2021,8.101,,,,
01-03-2021,7.956,,,,
