Year,FY2005-06,FY2004-05,FY2003-04
Revenue From Operations [Gross],90937.94,73710.46,56470.84
Less: Excise/Sevice Tax/Other Levies,8246.67,7245.27,4397.40
Revenue From Operations [Net],82691.27,66465.19,52073.44
Other Operating Revenues,0.00,0.00,0.00
Total Operating Revenues,82691.27,66465.19,52073.44
Other Income,591.11,1551.68,1422.76
Group Share In Joint Ventures,474.67,69.63,0.00
Total Revenue,83757.05,68086.50,53496.20
Cost Of Materials Consumed,59169.66,45969.43,34492.02
Purchase Of Stock-In Trade,2541.59,2356.55,2419.81
Purchase of Crude Oil And Others,0.00,0.00,0.00
Cost of Power Purchased,0.00,0.00,0.00
Cost Of Fuel,0.00,0.00,0.00
Aircraft Fuel Expenses,0.00,0.00,0.00
Aircraft Lease Rentals,0.00,0.00,0.00
Operating And Direct Expenses,940.03,828.98,400.34
"Changes In Inventories Of FG,WIP And Stock-In Trade",-2120.16,524.35,605.41
Employee Benefit Expenses,1469.26,857.59,806.37
Finance Costs,934.56,1474.07,1439.67
Provsions and Contingencies,0.00,0.00,0.00
Depreciation And Amortisation Expenses,3494.93,3727.36,3250.81
Miscellaneous Expenses Written Off,0.00,0.00,0.00
Other Expenses,6194.50,3242.49,3771.70
Less: Inter Unit / Segment / Division Transfer,0.00,0.00,0.00
Less: Transfer to / From Investment / Fixed Assets / Others,0.00,0.00,0.00
Less: Amounts Transfer To Capital Accounts,0.00,0.00,0.00
Less: Share of Loss From Partnership Firm,0.00,0.00,0.00
Group Share In Joint Ventures,0.00,0.00,0.00
Total Expenses,72624.37,58980.82,47186.13
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",11132.68,9105.68,6310.07
Exceptional Items,0.00,0.00,0.00
Profit/Loss Before Tax,11132.68,9105.68,6310.07
Current Tax,894.78,705.22,351.06
Less: MAT Credit Entitlement,0.00,0.00,0.00
Deferred Tax,704.00,792.00,790.02
Other Direct Taxes,38.72,8.00,0.00
Tax For Earlier Years,0.00,0.00,0.00
Total Tax Expenses,1637.50,1505.22,1141.08
Profit/Loss After Tax And Before ExtraOrdinary Items,9495.18,7600.46,5168.99
Prior Period Items,77.62,48.24,-23.03
Extraordinary Items,-99.54,30.63,52.33
Profit/Loss From Continuing Operations,9473.26,7679.33,5198.29
Profit Loss From Discontinuing Operations,0.00,0.00,0.00
Total Tax Expenses Discontinuing Operations,0.00,0.00,0.00
Net Profit Loss From Discontinuing Operations,0.00,0.00,0.00
Profit/Loss For The Period,9473.26,7679.33,5198.29
Minority Interest,-3.47,0.00,0.00
Share Of Profit/Loss Of Associates,0.00,0.00,0.00
Consolidated Profit/Loss After MI And Associates,9476.73,7679.33,5198.29
Basic EPS (Rs.),68.00,55.00,37.00
Diluted EPS (Rs.),68.00,55.00,37.00
Imported Raw Materials,0.00,0.00,0.00
Indigenous Raw Materials,0.00,0.00,0.00
Imported Stores And Spares,0.00,0.00,0.00
Indigenous Stores And Spares,0.00,0.00,0.00
Equity Share Dividend,1393.51,1045.13,733.10
Preference Share Dividend,0.01,0.00,0.00
Tax On Dividend,195.44,146.58,91.64
